MODULE	SOUS_MODULE	Type	Exercice	Série	Données	Placement réponse	Réponse	Catégorie	Verbe	Fichier Audio	Audio 1	Audio 2	Audio 3 	Audio 4	
7	6	Classique	1	1	Monsieur;,;Je;vous;/informe/;que;j';ai;été;victime;d';un;accident;du;travail;.;En;effet,;lors;d';un;petit-déjeuner;/collectif/;offert;par;la;direction;,;j';/ai/;/reçu/;dans;l';œil;une;miette;/projetée/;alors;qu';un;collègue;coupait;des;tranches;de;pain;.;/Négligeant/;ma;douleur;,;j';/ai/;simplement;/demandé/;à;quelqu';un;de;retirer;la;miette;qui;/était/;/plantée/;dans;mon;œil,;mais;la;plaie;s';/est/;/infectée/;.;Un;directeur;/négligent/;m';/aurait/;probablement;/conseillé/;d';en;rester;là,;mais;M;.;Tartine;m';a;demandé;de;/déclarer/;l';accident;.;Théo;P;.										
7	6	Classique	1	1		[73,4,1,0]	informe				s01d01.mp3				
7	6	Classique	1	1		[3,1,2,0];[74,1];[76,1,2,1];[3,2,6,0]	collectif;ai/reçu;projetée				s01d02.mp3	s01d03.mp3	s01d04.mp3		
7	6	Classique	1	1		[72,1,1,1];[74,0];[76,1,1,0];[75,1];[76,2,1,1];[75,0];[76,2,1,0]	négligeant;ai/demandé;était/plantée;est/infectée				s01d05.mp3	s01d06.mp3	s01d07.mp3	s01d08.mp3	s01d09.mp3
7	6	Classique	1	1		[3,1,2,1];[74,1];[76,1,1,1];[71,1,1,0]	négligent;aurait/conseillé;déclarer				s01d10.mp3	s01d11.mp3	s01d12.mp3		
7	7	Test	A	1	Ils;sont;parti;en;train		0								
7	7	Test	A	2	Les;clubs;italiens;dominait;le;championnat;européen;depuis;une;dizaine;d';années;.		0								
7	7	Test	A	3	Certaines;substances;sont;dangereuse;.		0								
7	7	Test	A	4	Elle;a;vue;ta;réponse;.		0								
7	7	Test	A	5	Il;faut;que;j';aille;posté;ce;courrier;rapidement;.		0								
7	7	Test	A	6	Abandonnée;et;délabrée,;l';usine;sera;bientôt;démoli;.		0								
7	7	Test	A	7	Les;trois;hommes;armés;ont;dérobé;près;de;100;000;euros;.		1								
7	7	Test	A	8	L';inauguration;du;musée;est;prévue;mercredi;.		1								
7	7	Test	A	9	Ils;conteste;les;chiffres;qu';on;leur;a;donné;.		0								
7	7	Test	A	10	On;a;créé;des;affiches;colorée;.		0								
7	7	Test	A	11	Elle;a;enfreint;le;règlement;plusieurs;fois;.		1								
7	7	Test	A	12	Nous;souhaitons;nous;présenter;aux;élections;des;représentants;du;personnel;.		1								
7	7	Test	A	13	On;a;tenté;de;chiffrer;les;dégâts;le;plus;précisément;possible;.		1								
7	7	Test	A	14	Ici,;les;stagiaires;sont;choyés;par;leur;maître;de;stage;.		1								
7	7	Test	A	15	Syndicats;et;direction;sont;parvenus;à;un;accord;.		1								
7	7	Test	A	16	La;canalisation;est;bouché;.		0								
7	7	Test	A	17	Vous;devez;vous;inscrire;pour;pouvoir;entrez;.		0								
7	7	Test	A	18	J';ai;envoyé;un;mail;à;l';équipe;technique;.		1								
7	7	Test	A	19	Je;lui;ai;demandée;d';être;à;l';heure;.		0								
7	7	Test	A	20	Vous;avez;prévenu;Théo;?		1								
7	7	Test	A	21	Communiquer;leur;toutes;les;informations;dont;nous;disposons;.		0								
7	7	Test	A	22	Elle;a;acheter;des;masques;de;protection;.		0								
7	7	Test	A	23	J';ai;reçus;tous;les;candidats;.		0								
7	7	Test	A	24	Ces;livres;sont;abimé;.		0								
7	7	Test	A	25	Elle;a;choisie;les;nouveaux;meubles;.		0								
7	7	Test	A	26	La;juge;avait;interrogée;une;dizaine;de;témoins;.		0								
7	7	Test	A	27	Les;analyses;reçues;sont;erroné;.		0								
7	7	Test	A	28	Elle;n';a;pas;entendue;ton;appel;.		0								
7	7	Test	A	29	Les;billets;pour;les;trains;annulés;vous;seront;rembourser;.		0								
7	7	Test	A	30	Le;nouveau;pont;suspendu;sera;inaugurée;cet;automne;.		0								
7	7	Test	A	31	Elle;est;consterné;par;ta;décision;.		0								
7	7	Test	A	32	Le;terrain;accidenté;ne;permet;pas;le;passage;des;véhicules;de;secours;.		1								
7	7	Test	A	33	Il;n';a;pas;cherchez;à;comprendre;.		0								
7	7	Test	A	34	Les;contrats;signés;sont;posés;sur;mon;bureau;.		1								
7	7	Test	A	35	Elle;a;perdue;son;avance;.;		0								
7	7	Test	A	36	Ils;ont;attendus;le;dernier;moment;pour;prendre;leurs;billets;.		0								
7	7	Test	A	37	Les;difficultés;attendues;ont;été;bien;gérées;.		1								
7	7	Test	A	38	Les;travaux;entrepris;gênent;la;circulation;.		1								
7	7	Test	A	39	Les;manifestants;sont;reparti;dans;le;calme;.		0								
7	7	Test	A	40	On;a;assisté;à;un;match;serré;entre;les;deux;équipes;.		1								
7	7	Test	A	41	J';ai;apporté;les;contrats;à;Louise;qui;les;a;traduits;.		1								
7	7	Test	A	42	La;stratégie;adopté;semble;être;la;bonne;.		0								
7	7	Test	A	43	Elles;ont;réussis;leur;pari;.		0								
7	7	Test	A	44	L';argent;récoltée;sera;reversé;à;des;associations;.		0								
7	7	Test	A	45	Elle;a;compris;les;problèmes;exprimées;.		0								
7	7	Test	A	46	Nous;avons;rencontrés;nos;partenaires;financiers;.		0								
7	7	Test	A	47	Tu;as;accepté;sa;proposition;?		1								
7	7	Test	A	48	C';était;encore;un;rendez-vous;manquez;.		0								
7	7	Test	A	49	Les;plans;proposé;ne;conviennent;pas;.		0								
7	7	Test	A	50	Les;articles;ne;sont;ni;repris;ni;échangées;.		0								
